"Madurai, Tamil Nadu, India",+0530,no timezone abbreviation
"Tangshan, China",+0800,no timezone abbreviation
"Shenzhen, China",+0800,no timezone abbreviation
"Detroit, Michigan, United States",-0500,EST - Eastern Standard Time
"Mobile, Alabama, United States",-0600,CST - Central Standard Time
"Nairobi, Kenya",+0300,no timezone abbreviation
"Nanchang, China",+0800,no timezone abbreviation
"Adak, Alaska, United States",-1000,HAST - Hawaii-Aleutian Standard Time
"Astana, Kazakstan",+0600,no timezone abbreviation
"Victoria, Seychelles",+0400,no timezone abbreviation
"Richmond, Virginia, United States",-0500,EST - Eastern Standard Time
"Porto Alegre, Rio Grande do Sul, Brazil",-0200,no timezone abbreviation
"Malang, Java, Indonesia",+0700,no timezone abbreviation
"Anchorage, Alaska, United States",-0900,AKST - Alaska Standard Time
"Vancouver, British Columbia, Canada",-0800,PST - Pacific Standard Time
"Antananarivo, Madagascar",+0300,no timezone abbreviation
"Port Moresby, Papua New Guinea",+1000,no timezone abbreviation
"Riyadh, Saudi Arabia",+0300,no timezone abbreviation
"Gdansk, Poland",+0100,CET - Central European Time
"Guatemala, Guatemala",-0600,no timezone abbreviation
AKDT,-0800,AKDT - Alaska Daylight Time
"Unalaska, Alaska, United States",-0900,AKST - Alaska Standard Time
P,-0300,P - Papa Time Zone
"Niamey, Niger",+0100,no timezone abbreviation
"St. Petersburg, Florida, United States",-0500,EST - Eastern Standard Time
"Belgrade, Serbia",+0100,CET - Central European Time
"Porto, Portugal",+0000,WET - Western European Time
"Moroni, Comoros",+0300,no timezone abbreviation
"Abidjan, Cote d'Ivoire (Ivory Coast)",+0000,UTC - Coordinated Universal Time
"Leon, Guanajuato, Mexico",-0600,CST - Central Standard Time
"El Paso, Texas, United States",-0700,MST - Mountain Standard Time
"Mexicali, Baja California, Mexico",-0800,PST - Pacific Standard Time
"Pretoria, South Africa",+0200,no timezone abbreviation
"Stockholm, Sweden",+0100,CET - Central European Time
"Cebu City, Philippines",+0800,no timezone abbreviation
"Brasilia, Distrito Federal, Brazil",-0200,no timezone abbreviation
"Tarawa, Kiribati",+1200,no timezone abbreviation
"Hangzhou, China",+0800,no timezone abbreviation
"Tunis, Tunisia",+0100,no timezone abbreviation
"Fort-de-France, Martinique, France",-0400,no timezone abbreviation
"Copenhagen, Denmark",+0100,CET - Central European Time
"Gibraltar, Gibraltar, United Kingdom",+0100,CET - Central European Time
"Manado, Sulawesi, Indonesia",+0800,no timezone abbreviation
"Ternate, Halmahera, Indonesia",+0900,no timezone abbreviation
"London, Ontario, Canada",-0500,EST - Eastern Standard Time
"Karachi, Pakistan",+0500,no timezone abbreviation
"Kãnpur, Uttar Pradesh, India",+0530,no timezone abbreviation
"Mamoutzou, Mayotte, France",+0300,no timezone abbreviation
"Lausanne, Switzerland",+0100,CET - Central European Time
"Edmonton, Alberta, Canada",-0700,MST - Mountain Standard Time
"Bratislava, Slovak Republic",+0100,CET - Central European Time
"Anadyr, Russian Federation",+1200,no timezone abbreviation
"Novgorod, Russian Federation",+0300,no timezone abbreviation
"Riga, Latvia",+0200,EET - Eastern European Time
"Sarajevo, Bosnia-Herzegovina",+0100,CET - Central European Time
"Salzburg, Austria",+0100,CET - Central European Time
"Kraków, Poland",+0100,CET - Central European Time
"Phoenix, Arizona, United States",-0700,MST - Mountain Standard Time
"Nome, Alaska, United States",-0900,AKST - Alaska Standard Time
"Dar es Salaam, Tanzania",+0300,no timezone abbreviation
"Azores, Portugal",-0100,no timezone abbreviation
"Yerevan, Armenia",+0400,no timezone abbreviation
"Augusta, Maine, United States",-0500,EST - Eastern Standard Time
"Skopje, Macedonia",+0100,CET - Central European Time
"San Luis Potosi, San Luis Potosí, Mexico",-0600,CST - Central Standard Time
"Recife, Pernambuco, Brazil",-0300,no timezone abbreviation
"Atlanta, Georgia, United States",-0500,EST - Eastern Standard Time
"Rio Branco, Acre, Brazil",-0500,no timezone abbreviation
"Bissau, Guinea Bissau",+0000,UTC - Coordinated Universal Time
"Nukualofa, Tonga",+1300,no timezone abbreviation
"Roseau, Dominica",-0400,no timezone abbreviation
"San Antonio, Texas, United States",-0600,CST - Central Standard Time
"Kabul, Afghanistan",+0430,no timezone abbreviation
"Rarotonga, Cook Islands",-1000,no timezone abbreviation
"Hamilton, Ontario, Canada",-0500,EST - Eastern Standard Time
"Kaohsiung, Taiwan",+0800,no timezone abbreviation
"Ankara, Turkey",+0200,EET - Eastern European Time
"Sao Paulo, São Paulo, Brazil",-0200,no timezone abbreviation
"Montgomery, Alabama, United States",-0600,CST - Central Standard Time
"Brussels, Belgium",+0100,CET - Central European Time
W,-1000,W - Whiskey Time Zone
"Al Jizah, Egypt",+0200,no timezone abbreviation
"Louisville, Kentucky, United States",-0500,EST - Eastern Standard Time
"Jeddah, Saudi Arabia",+0300,no timezone abbreviation
"Harbin, China",+0800,no timezone abbreviation
"Palembang, Sumatera, Indonesia",+0700,no timezone abbreviation
"Baotou, China",+0800,no timezone abbreviation
"Vaduz, Liechtenstein",+0100,CET - Central European Time
"Jersey City, New Jersey, United States",-0500,EST - Eastern Standard Time
"Phnom Penh, Cambodia",+0700,no timezone abbreviation
"Brazzaville, Congo",+0100,no timezone abbreviation
"Pune, Maharashtra, India",+0530,no timezone abbreviation
BST,+0100,BST - British Summer Time
"Toronto, Ontario, Canada",-0500,EST - Eastern Standard Time
"Perm, Russian Federation",+0500,no timezone abbreviation
"Wroclaw, Poland",+0100,CET - Central European Time
"Denpasar, Bali, Indonesia",+0800,no timezone abbreviation
"Addis Ababa, Ethiopia",+0300,no timezone abbreviation
MDT,-0600,MDT - Mountain Daylight Time
F,+0600,F - Foxtrot Time Zone
"Dodoma, Tanzania",+0300,no timezone abbreviation
"Caracas, Venezuela",-0430,no timezone abbreviation
"Orlando, Florida, United States",-0500,EST - Eastern Standard Time
"Oakland, California, United States",-0800,PST - Pacific Standard Time
"Sana, Yemen",+0300,no timezone abbreviation
"Lódz, Poland",+0100,CET - Central European Time
"Luxembourg, Luxembourg",+0100,CET - Central European Time
"Andorra La Vella, Andorra",+0100,CET - Central European Time
V,-0900,V - Victor Time Zone
"Tallinn, Estonia",+0200,EET - Eastern European Time
"Lhasa, China",+0800,no timezone abbreviation
"Yangon, Myanmar",+0630,no timezone abbreviation
"Sydney, New South Wales, Australia",+1100,EDT - Eastern Daylight Time
"Ottawa, Ontario, Canada",-0500,EST - Eastern Standard Time
EDT,-0400,EDT - Eastern Daylight Time
"Saipan, Northern Mariana Islands, United States",+1000,no timezone abbreviation
"Kano Nigeria, Nigeria",+0100,no timezone abbreviation
"Athens, Greece",+0200,EET - Eastern European Time
"Tórshavn, Faroe Islands, Denmark",+0000,UTC - Coordinated Universal Time
"Providence, Rhode Island, United States",-0500,EST - Eastern Standard Time
"Chongqing, China",+0800,no timezone abbreviation
"San Marino, San Marino",+0100,CET - Central European Time
"Semarang, Java, Indonesia",+0700,no timezone abbreviation
"Guadalajara, Jalisco, Mexico",-0600,CST - Central Standard Time
"Lima, Lima, Peru",-0500,no timezone abbreviation
"Oslo, Norway",+0100,CET - Central European Time
"Rotterdam, Netherlands",+0100,CET - Central European Time
"Vilnius, Lithuania",+0200,EET - Eastern European Time
WEDT,+0100,WEDT - Western European Daylight Time
"Kingston, Jamaica",-0500,no timezone abbreviation
EEST,+0300,EEST - Eastern European Summer Time
"Jefferson City, Missouri, United States",-0600,CST - Central Standard Time
"Ho Chi Minh, Vietnam",+0700,no timezone abbreviation
"Kaunas, Lithuania",+0200,EET - Eastern European Time
"St. John's, Newfoundland and Labrador, Canada",-0330,NST - Newfoundland Standard Time
"Banjul, Gambia",+0000,UTC - Coordinated Universal Time
"Ulaanbaatar, Mongolia",+0800,no timezone abbreviation
A,+0100,A - Alpha Time Zone
"Beirut, Lebanon",+0200,no timezone abbreviation
"Casablanca, Morocco",+0000,UTC - Coordinated Universal Time
"Surabaya, Java, Indonesia",+0700,no timezone abbreviation
"Luanda, Angola",+0100,no timezone abbreviation
"Venice, Italy",+0100,CET - Central European Time
"Bridgetown, Barbados",-0400,no timezone abbreviation
"Barcelona, Spain",+0100,CET - Central European Time
HAE,-0400,HAE - Heure Avancée de l'Est
Q,-0400,Q - Quebec Time Zone
"Hobart, Tasmania, Australia",+1100,EDT - Eastern Daylight Time
"Rawaki, Phoenix Islands, Kiribati",+1300,no timezone abbreviation
"Wellington, New Zealand",+1300,no timezone abbreviation
"Chittagong, Bangladesh",+0600,no timezone abbreviation
"Juneau, Alaska, United States",-0900,AKST - Alaska Standard Time
I,+0900,I - India Time Zone
"Merida, Yucatán, Mexico",-0600,CST - Central Standard Time
HADT,-0900,HADT - Hawaii-Aleutian Daylight Time
"Harare, Zimbabwe",+0200,no timezone abbreviation
"Des Moines, Iowa, United States",-0600,CST - Central Standard Time
"Guiyang, China",+0800,no timezone abbreviation
"Managua, Nicaragua",-0600,no timezone abbreviation
"Porto Novo, Benin",+0100,no timezone abbreviation
"London, England, United Kingdom",+0000,GMT - Greenwich Mean Time
"Podgorica, Montenegro",+0100,CET - Central European Time
"Yokohama, Japan",+0900,no timezone abbreviation
"Kyiv, Ukraine",+0200,EET - Eastern European Time
"Jinzhou, China",+0800,no timezone abbreviation
"Road Town, British Virgin Islands, United Kingdom",-0400,no timezone abbreviation
"Jayapura, Papua, Indonesia",+0900,no timezone abbreviation
"Delhi, Delhi, India",+0530,no timezone abbreviation
"Bhubaneshwar, Orissa, India",+0530,no timezone abbreviation
"Minneapolis, Minnesota, United States",-0600,CST - Central Standard Time
"Hartford, Connecticut, United States",-0500,EST - Eastern Standard Time
HAP,-0700,HAP - Heure Avancée du Pacifique
"Palikir, Ponape, Micronesia",+1100,no timezone abbreviation
"Maputo, Mozambique",+0200,no timezone abbreviation
"Montpelier, Vermont, United States",-0500,EST - Eastern Standard Time
"Cairo, Egypt",+0200,no timezone abbreviation
PDT,-0700,PDT - Pacific Daylight Time
"La Coruña, Spain",+0100,CET - Central European Time
"Gatineau, Quebec, Canada",-0500,EST - Eastern Standard Time
"The Valley, Anguilla, United Kingdom",-0400,no timezone abbreviation
"Yaoundé, Cameroon",+0100,no timezone abbreviation
"Johannesburg, South Africa",+0200,no timezone abbreviation
"Yuzhno-Sakhalinsk, Russian Federation",+1000,no timezone abbreviation
"Singapore, Singapore",+0800,no timezone abbreviation
"Colombo, Sri Lanka",+0530,no timezone abbreviation
"Little Rock, Arkansas, United States",-0600,CST - Central Standard Time
"Tirane, Albania",+0100,CET - Central European Time
"Yaren, Nauru",+1200,no timezone abbreviation
L,+1100,L - Lima Time Zone
"Yellowknife, Northwest Territories, Canada",-0700,MST - Mountain Standard Time
"Lilongwe, Malawi",+0200,no timezone abbreviation
"Tbilisi, Georgia",+0400,no timezone abbreviation
"Munich, Bavaria, Germany",+0100,CET - Central European Time
"Hiroshima, Japan",+0900,no timezone abbreviation
"São Tomé, Sao Tome and Principe",+0000,UTC - Coordinated Universal Time
"Cincinnati, Ohio, United States",-0500,EST - Eastern Standard Time
NST,-0330,NST - Newfoundland Standard Time
"Hamburg, Hamburg, Germany",+0100,CET - Central European Time
"Pittsburgh, Pennsylvania, United States",-0500,EST - Eastern Standard Time
"Sofia, Bulgaria",+0200,EET - Eastern European Time
"Mataram, Lombok, Indonesia",+0800,no timezone abbreviation
"Aurora, Colorado, United States",-0700,MST - Mountain Standard Time
"Chengdu, China",+0800,no timezone abbreviation
"Billings, Montana, United States",-0700,MST - Mountain Standard Time
"Lahore, Pakistan",+0500,no timezone abbreviation
"Fukuoka, Japan",+0900,no timezone abbreviation
"Khulna, Bangladesh",+0600,no timezone abbreviation
"Port Vila, Vanuatu",+1100,no timezone abbreviation
"New Delhi, Delhi, India",+0530,no timezone abbreviation
"Varanasi, Uttar Pradesh, India",+0530,no timezone abbreviation
"Bismarck, North Dakota, United States",-0600,CST - Central Standard Time
"Dakar, Senegal",+0000,UTC - Coordinated Universal Time
"Saint John's, Antigua and Barbuda",-0400,no timezone abbreviation
"Paris, France",+0100,CET - Central European Time
"Rosario, Santa Fe, Argentina",-0200,no timezone abbreviation
"Perth, Western Australia, Australia",+0900,WDT - Western Daylight Time
"Yekaterinburg, Russian Federation",+0500,no timezone abbreviation
"Omsk, Russian Federation",+0600,no timezone abbreviation
